Name	L	T	K	F	R	LF
Orthotrichum cupulatum Brid. var. cupulatum	9	3	5	2	8	C,(E)
Orthotrichum cupulatum var. riparium Hueb. (O. nudum)	8	5	4	8	6	A, C
Orthotrichum cupulatum var. sardagnanuum (Vent.) Vent.	9	8	4	1	8	C
Orthotrichum diaphanum Brid.	8	6	5	2	6	C, E
Orthotrichum gymnostomum Bruch ex Brid.	7	3	6	3	6	C, E
Orthotrichum limprichtii I. Hag. (perforatum)	x	2	7	x	8	C
Orthotrichum lyellii Hook. & Tayl.	7	4	4	4	5	C, E
Orthotrichum microcarpum De Not.	5	7	5	?	5	C, E
Orthotrichum obtusifolium Brid.	7	2	6	4	8	C, E
Orthotrichum pallens Bruch ex Brid. var. pallens	4	2	6	4	5	C, E
Orthotrichum pallens var. paradoxum (Groenv.) Duell	8	2	6	2	5	C
Orthotrichum patens Bruch ex Brid.	6	4	7	4	6	C, E
Orthotrichum pulchellum Brunt.	8	6	2	3	5	C, E
Orthotrichum pumilum Sw.	8	4	5	4	7	C, E
Orthotrichum pylaisii Brid.	9	1	7	2	x	C
Orthotrichum rivulare Turn.	x	5	2	8	2	C, A
Orthotrichum rogeri Brid.	7	3	6	4	?	C, E
Orthotrichum rupestre Schleich. ex Schwaegr. var. rupestre	8	2	4	3	6	C,(E)
Orthotrichum rupestre var. franzonianum (De Not. ex Vent.) Vent.	6	2	5	3	?	C, E
Orthotrichum rupestre var. sturmii (Hornsch.) Jur.	8	2	4	3	6	C,(E)
Orthotrichum scanicum Groenv.	6	6	6	?	?	C, E
Orthotrichum schimperi Hammar	8	4	5	4	7	C, E
Orthotrichum speciosum Nees ex Sturm var. speciosum	7	2	6	5	5	C, E
Orthotrichum speciosum var. elegans (Schwaegr.) Warnst.	5	3	7	3	4	C, E
Orthotrichum sprucei Mont.	7	6	2	0	6	C, E, A
Orthotrichum stellatum Brid.	7	6	5	5	5	C, E
Orthotrichum stramineum Hornsch. ex Brid.	7	4	4	3	6	C, E
Orthotrichum striatum Hedw.	8	3	4	5	6	C, E
Orthotrichum tenellum Bruch ex Brid.	8	6	4	3	6	C, E
Orthotrichum urnigerum Myr. var. urnigerum	4	4	7	5	x	C
Orthotrichum urnigerum var. schubertianum (Lor.) Vent. ex Husn.	8	2	7	3	5	C
Orthotrichum urnigerum var. venturii (De Not.) Vent. & Bott.	8	2	7	3	5	C
Oxymitra paleacea Bisch.	9	9	7	1	6	H
Oxystegus cylindricus (Bruch ex Brid.) Hilp. var. cylindricus	4	3	4	6	5	C
Oxystegus cylindricus var. holtii (Braithw.) Podp.	4	6	3	7	5	C
Oxystegus hibernicus (Mitt.) Hilp.	4	6	2	7	5	C
Pallavicinia lyellii (Hook.) Carruth.	6	6	3	8	6	H
Paludella squarrosa (Hedw.) Brid.	7	2	6	7	8	C
Paraleucobryum enerve (Thed.) Loeske	9	1	6	7	2	C
Paraleucobryum longifolium (Hedw.) Loeske var. longifolium	4	3	6	4	1	C
Paraleucobryum longifolium var. subalpinum (Milde) Demar.	6	2	6	5	1	C
Paraleucobryum sauteri (Schimp.) Loeske	4	3	7	5	2	C, E
Pedinophyllum interruptum (Nees) Kaal.	3	3	4	6	9	C
Pellia endiviifolia (Dicks.) Dum. (fabbroniana)	x	4	5	8	8	H
Pellia epiphylla (L.) Corda	x	4	5	8	5	H,(A)
Pellia neesiana (Gott.) Limpr.	x	3	6	8	5	H
Peltolepis quadrata (Saut.) K. Muell.	6	1	7	6	9	H
Phaeoceros bulbiculosus (Brotero) Prosk.	6	9	6	7	6	H
Phaeoceros carolinianus (Michx.) Prosk. (Anthoc. laev. auct. c. eur.)	7	4	5	7	6	H, T
Phaeoceros laevis (L.) Prosk.	6	9	4	6	6	H, T
Phascum curvicolle Hedw.	8	6	5	3	8	T
Phascum cuspidatum Hedw. var. cuspidatum	8	4	5	4	6	T
Phascum cuspidatum var. mitraeforme Limpr. (? papillosum)	8	6	7	5	6	T
Phascum cuspidatum var. piliferum (Hedw.) Hook. & Tayl.	9	6	6	2	7	T
Phascum floerkeanum Web. & Mohr	8	6	5	6	7	T
Philonotis caespitosa Jur.	6	3	5	7	2	C
Philonotis calcarea (B. & S.) Schimp.	8	2	5	7	8	C
Philonotis capillaris Lindb. ex C. Hartm. (arnellii)	7	3	4	7	2	C
Philonotis fontana (Hedw.) Brid.	8	x	5	7	2	C
Philonotis marchica (Hedw.) Brid.	7	6	5	7	5	C
Philonotis rigida Brid.	7	7	2	7	6	C
Philonotis seriata Mitt.	8	1	6	7	2	C
Philonotis tomentella Mol.	6	1	6	7	8	C
Physcomitrium eurystomum Sendtn. (acuminatum)	9	7	6	7	7	T
Physcomitrium pyriforme (Hedw.) Brid.	8	4	5	7	6	T
Physcomitrium sphaericum (Ludw.) Brid.	8	5	5	7	6	T
Plagiobryum demissum (Hook.) Lindb.	5	1	4	6	8	C
Plagiobryum zierii (Hedw.) Lindb.	4	1	6	7	8	C
Plagiochasma rupestre (Forst.) Steph.	7	9	5	5	7	H
Plagiochila asplenioides (L. emend. Tayl.) Dum.	4	4	5	6	6	C
Plagiochila exigua (Tayl.) Tayl. (= corniculata)	4	7	2	6	3	C, E
Plagiochila killarniensis Pears.	4	8	1	5	5	C, E
Plagiochila porelloides (Torrey ex Nees) Lindenb.	6	3	5	5	7	C,(E)
Plagiochila punctata Tayl.	4	5	1	6	2	C, E
Plagiochila spinulosa (Dicks.) Dum.	4	6	1	6	5	C, E
Plagiomnium affine (Bland.) T. Kop.	5	4	5	5	5	H
Plagiomnium cuspidatum (Hedw.) T. Kop.	4	3	5	5	7	H
Plagiomnium drummondii (B. & S.) T. Kop.	4	4	8	6	5	H
Plagiomnium elatum (B. & S.) T. Kop.	x	2	6	7	6	H
Plagiomnium ellipticum (Brid.) T. Kop.	6	2	6	7	3	H
Plagiomnium medium (B. & S.) T. Kop.	5	1	6	7	5	H
Plagiomnium rostratum (Schrad.) T. Kop.	4	3	5	6	8	H
Plagiomnium undulatum (Hedw.) T. Kop.	4	3	5	6	6	H, C
Plagiopus oederiana (Sw.) Crum & Anders. var. oederiana	4	1	6	6	8	C
Plagiopus oederiana var. alpina (Schwaegr.) Dalla Torre & Sarnth.	8	1	6	5	8	C
Plagiothecium cavifolium (Brid.) Iwats. (roseanum)	4	2	6	5	6	H
Plagiothecium curvifolium Schlieph. ex Limpr.	5	3	4	4	2	H
Plagiothecium denticulatum (Hedw.) B., S. & G. var. denticulatum	5	x	5	4	5	H
Plagiothecium denticulatum var. obtusifolium (Turn.) Moore (donianum)	9	1	6	7	4	H
Plagiothecium laetum B., S. & G.	4	3	6	4	2	H,(E)
Plagiothecium latebricola B., S. & G.	3	3	4	5	3	H
Plagiothecium neckeroideum B., S. & G.	2	2	7	6	2	H
Plagiothecium nemorale (Mitt.) Jaeg. (sylvaticum agg.)	4	3	5	6	5	H
Plagiothecium noricum Mol. ex Limpr.	4	3	7	6	2	H
Plagiothecium piliferum (Sw. ex C. Hartm.) B., S. & G.	3	1	6	6	2	H
Plagiothecium platyphyllum Moenk.	5	3	4	7	4	H
Plagiothecium ruthei Limpr. denticulatum var. undulatum)	x	5	6	7	3	H
Plagiothecium succulentum (Wils.) Lindb.	5	2	4	6	2	H
Plagiothecium undulatum (Hedw.) B., S. & G.	4	3	4	6	1	H
Platydictya confervoides (Brid.) Crum	5	3	6	4	8	C
Platydictya jungermannoides (Brid.) Crum	3	2	4	6	9	C
Platydictya subtile (Hedw.) Crum	7	4	7	5	6	C, E
Platygyrium repens (Brid.) B., S. & G.	6	5	6	4	6	C, E
Pleuridium acuminatum Lindb.	7	5	4	5	4	T
Pleuridium palustre (B. & S.) B., S. & G.	7	6	7	7	5	T
Pleuridium subulatum (Hedw.) Rabenh.	7	3	4	7	4	T
Pleurochaete squarrosa (Brid.) Lindb.	9	8	5	2	6	C
Pleurocladula albescens (Hook.) Grolle	9	1	6	8	5	C
Pleurocladula islandica (Nees) Grolle	9	1	6	8	5	C
Pleurozium schreberi (Brid.) Mitt.	6	3	5	4	2	C
Pogonatum aloides (Hedw.) P. Beauv. var. aloides	6	3	5	6	3	H
Pogonatum aloides var. obtusifolium Amann (= briosianum)	6	8	7	6	6	H
Pogonatum nanum (Hedw.) P. Beauv. var. nanum	7	5	4	5	2	H
Pogonatum urnigerum (Hedw.) P. Beauv.	8	2	6	6	2	H
Pohlia ambigua (Limpr.) Broth.	8	1	7	5	5	C
Pohlia andalusica (Hoehnel) Broth. (rothii)	8	2	4	6	4	C
Pohlia andrewsii Shaw	5	1	7	6	4	C
Pohlia annotina (Hedw.) Lindb.	8	3	6	6	4	C
Pohlia bulbifera (Warnst.) Warnst.	8	3	4	6	3	C
Pohlia camptotrachela (Ren. et Card.) Broth.	8	3	6	6	3	C
Pohlia cruda (Hedw.) Lindb.	4	x	5	5	5	C
Pohlia drummondii (C. Muell.) Andr.	9	1	6	7	2	C
Pohlia elongata Hedw. var. elongata	4	2	6	5	2	C
Pohlia elongata var. acuminata (Hoppe & Hornsch.) Hueb.	4	2	6	5	2	C
Pohlia elongata var. polymorpha (Hoppe & Hornsch.) Nyh.	4	1	6	5	5	C
Pohlia filum (Schimp.) Maort. (erecta)	9	1	6	4	2	C
Pohlia lescuriana (Sull.) Grout (pulchella)	4	2	4	6	3	C
Pohlia longicollis (Hedw.) Lindb.	4	1	7	6	2	C
Pohlia ludwigii (Spreng. ex Schwaegr.) Broth.	9	1	6	7	3	C
Pohlia lutescens (Limpr.) Lindb.	4	5	5	5	3	C
Pohlia marchica Osterwald	8	7	7	7	1	C
Pohlia melanodon (Brid.) J. Shaw (delicatula)	7	4	5	5	6	C
Pohlia muyldermansii Wilcz. & Demar.	7	5	3	7	3	C
Pohlia muyldermansii var. pseudomuyldermansi Arts et al.	7	5	3	7	3	C
Pohlia nutans (Hedw.) Lindb.	5	x	5	4	2	C
Pohlia obtusifolia (Brid.) L. Koch (cucullata)	9	1	6	7	2	C
Pohlia proligera (Kindb. ex Limpr.) Lindb. ex H. Arn.	6	1	6	5	3	C
Pohlia sphagnicola (B., S. & G.) Broth.	7	2	7	7	1	C
Pohlia tundrae Shaw	9	1	7	7	6	C
Pohlia vexans (Limpr.) Lindb. f.	9	1	7	7	5	C
Pohlia wahlenbergii (Web. & Mohr) Andr. var. wahlenbergii	6	x	5	7	6	C
Pohlia wahlenbergii var. calcareum (Warnst.) Warburg	8	6	5	7	9	C
Pohlia wahlenbergii var. glacialis (Schleich. ex Brid.) Warburg	9	1	6	7	6	C
Polytrichum alpinum Hedw.	7	1	6	6	2	H
Polytrichum commune Hedw. var. commune	6	2	5	7	2	H
Polytrichum commune var. humile Sw.	8	2	5	6	2	H
Polytrichum commune var. perigoniale (Michx.) Hampe	8	2	6	6	1	H
Polytrichum commune var. uliginosum Hueb.	7	2	6	8	1	H
Polytrichum formosum Hedw.	7	3	5	5	2	H
Polytrichum juniperinum Hedw.	8	2	5	4	3	H
Polytrichum longisetum Sw. ex Brid. (gracile)	8	2	6	7	2	H
Polytrichum pallidisetum Funck	7	3	7	7	2	H
Polytrichum piliferum Hedw. var. piliferum	9	x	5	2	2	H
Polytrichum sexangulare Brid. (norvegicum)	9	1	6	7	1	H
Polytrichum strictum Menz. ex Brid. (affine)	8	2	6	6	1	H
Porella arboris-vitae (With.) Grolle (M. laevigata)	5	4	5	4	7	C
Porella baueri (Schiffn.) C. Jens.	5	4	7	4	8	C, E
Porella cordaeana (Hueb.) Moore	5	2	5	6	6	C,(A, E)
Porella obtusata (Tayl.) Trev. (= macroloba)	7	9	4	5	6	C,(E)
Porella pinnata (Dicks.) Nees	x	7	1	9	x	C, A
Porella platyphylla (L.) Pfeiff.	5	3	5	4	6	C, E
Pottia bryoides (Dicks.) Mitt.	9	6	5	7	8	T
Pottia caespitosa (Bruch ex Brid.) C. Muell.	8	8	4	2	9	C
Pottia davalliana (Sm.) C. Jens. var. davalliana	8	5	5	6	7	T
Pottia davalliana var. conica (Schleich. ex Schwaegr.) Podp.	8	6	4	6	6	T
Pottia intermedia (Turn.) Fuernr.	7	5	5	6	6	T
Pottia lanceolata (Hedw.) C. Muell.	8	5	5	6	8	T
Pottia recta (With.) Mitt.	8	7	4	5	6	T
Pottia starckeana (Hedw.) C. Muell. var. starckeana	9	6	5	7	6	T
Pottia starckeana var. brachyodus C. Muell. (mutica, affinis))	9	6	4	2	8	T
Pottia truncata (Hedw.) B. & S.	7	4	5	7	5	T
Prasanthus suecicus (Gott.) Lindb.	9	1	7	7	2	C
Preissia quadrata (Scop.) Nees	x	2	6	7	9	H
Pseudephemerum nitidum (Hedw.) Reim.	6	5	4	7	3	T
Pseudobryum cinclidioides (Hueb.) T. Kop.	x	2	6	7	2	H
Pseudocrossidium hornschuchianum (K. F. Schultz) Zander	9	5	4	2	7	C
Pseudocrossidium revolutum (Brid.) Zander	7	6	4	3	8	C
Pseudoleskeella catenulata (Brid. ex Schrad.) Kindb. var. catenulata	8	3	6	4	8	C
Pseudoleskeella catenulata var. sibirica (Arn. ex Lindb.) Duell (P. sibirica)	7	1	6	5	9	C
Pseudoleskeella mildeana (De Not.) Amann (Pseudoleskea artariae)	8	8	7	4	9	C
Pseudoleskeella nervosa (Brid.) Nyh. (Leskeella n.)	7	4	6	5	6	C, E
Pseudoleskeella tectorum (Funck ex Brid.) Kindb. ex Broth.	8	x	7	2	7	C,(E)
Pterigynandrum filiforme Hedw. var. filiforme (montanense)	6	2	6	5	5	C, E
Pterigynandrum filiforme var. majus (De Not.) De Not. (decipiens)	8	3	6	6	4	C,(E)
Pterogonium gracile (Hedw.) Sm.	8	5	4	4	5	C
Pterygoneurum kozlovii Lazar. (= smardeanum)	9	7	8	2	7	T
Pterygoneurum lamellatum (Lindb.) Jur.	8	7	5	5	8	T
Pterygoneurum ovatum (Hedw.) Dixon	9	5	5	3	7	T
Pterygoneurum sampaianum (Mach.) Mach.	9	8	7	3	8	T
Pterygoneurum subsessile (Brid.) Jur.	9	7	8	3	7	T
Ptilidium ciliare (L.) Hampe	8	3	6	4	2	C
Ptilidium pulcherrimum (G. Web.) Vainio	7	3	6	5	2	C, E
Ptilium crista-castrensis (Hedw.) De Not.	4	3	6	6	3	C
Ptychomitrium incurvum (Schwaegr.) Spruce	5	9	2	3	1	C
Ptychomitrium polyphyllum (Sw.) B. & S.	7	5	3	3	2	C
Pylaisia polyantha (Hedw.) Schimp. var. polyantha	8	3	6	5	7	C, E
Pylaisia polyantha var. suecica (B., S. & G.) Broth.	8	2	7	6	7	C,(E)
Pyramidula tetragona (Brid.) Brid.	8	6	4	6	7	T
Racomitrium aciculare (Hedw.) Brid.	x	3	4	7	2	C, A
Racomitrium affine (Schleich. ex Web. & Mohr) Lindb.	6	2	?	6	1	C
Racomitrium aquaticum (Brid. ex Schrad.) Brid.	6	3	6	7	1	C, A
Racomitrium canescens (Hedw. ex Hedw.) Brid. ssp. canesc.	9	3	6	1	6	C
Racomitrium elongatum Ehrh. ex Frisvoll	8	3	6	1	4	C
Racomitrium ericoides (Web. ex Brid.) Brid.	8	2	4	2	4	C
Racomitrium fasciculare (Hedw.) Brid.	8	2	6	6	1	C
Racomitrium heterostichum (Hedw. ex Hedw.) Brid.	8	5	4	1	1	C
Racomitrium lanuginosum (Hedw.) Brid.	9	x	6	3	3	C, H
Racomitrium macounii Kindb. ex Kindb. ssp. macounii	9	1	6	6	1	C
Racomitrium macounii ssp. alpinum (Lawt.) Frisv.	9	1	6	7	2	C
Racomitrium microcarpon (Hedw.) Brid.	9	2	7	2	2	C
Racomitrium obtusum (Brid.) Brid.	4	5	3	5	2	C
Racomitrium sudeticum (Funck) B. & S.	7	2	6	6	1	C
Radula complanata (L.) Dum.	7	3	5	5	7	H, E
Radula lindenbergiana Gott. ex C. Hartm. f.	7	2	4	5	6	H, E
Reboulia hemisphaerica (L.) Raddi	7	4	4	7	7	H
Rhabdoweisia crenulata (Mitt.) Jameson	4	4	3	7	2	C
Rhabdoweisia crispata (With.) Lindb.	4	3	4	7	3	C
Rhabdoweisia fugax (Hedw.) B., S. & G.	4	2	6	6	2	C
Rhizomnium magnifolium (Horik.) T. Kop.	6	2	6	7	3	H
Rhizomnium pseudopunctatum (B. & S.) T. Kop. (subglobosum)	6	2	6	7	5	H
Rhizomnium punctatum (Hedw.) T. Kop.	3	3	4	6	4	H
Rhodobryum ontariense (Kindb.) Kindb.	x	5	7	5	8	C
Rhodobryum roseum (Hedw.) Limpr.	4	3	6	6	7	C,(!H)
Rhynchostegiella curviseta (Brid.) Limpr.	4	8	3	6	8	C
Rhynchostegiella durieui (Mit+D1112t.) Allorge (Orthothecium)	3	8	4	5	7	C
Rhynchostegiella jacquinii (Garov.) Limpr.	3	7	4	8	7	C, A
Rhynchostegiella teesdalei (B. & S.) Limpr. (teneriffae)	4	5	2	7	7	C
Rhynchostegiella tenella (Dicks.) Limpr.	4	5	4	3	8	C
Rhynchostegium alopecuroides (Brid.) A.J.E. Smith (Hygrohypnum lus.)	x	5	3	9	2	C, A
Rhynchostegium confertum (Dicks.) Schimp.	4	5	4	5	6	C,(E, A)
Rhynchostegium megapolitanum (Web. & Mohr) B., S. & G.	8	6	6	2	6	C
Rhynchostegium murale (Hedw.) B., S. & G.	5	3	5	5	7	C
Rhynchostegium riparioides (Hedw.) C. Jens. (Platyhypnidium)	x	3	5	8	6	C, A
Rhynchostegium rotundifolium (Brid.) B., S. & G.	4	7	5	5	7	C
Rhytidiadelphus loreus (Hedw.) Warnst.	4	3	4	6	3	C
Rhytidiadelphus squarrosus (Hedw.) Warnst.	7	3	6	6	5	C
Rhytidiadelphus subpinnatus (Lindb.) T. Kop. (calvescens)	8	2	6	6	5	C
Rhytidiadelphus triquetrus (Hedw.) Warnst.	7	3	5	4	6	C
Rhytidium rugosum (Hedw.) Kindb.	9	x	5	4	7	C
Riccardia chamaedryfolia (With.) Grolle (A. sinuata)	5	4	4	8	3	H, A
Riccardia incurvata Lindb.	9	2	4	7	2	H
Riccardia latifrons (Lindb.) Lindb.	4	3	6	7	1	H
Riccardia multifida (L.) S. Gray	7	4	5	8	4	H
Riccardia palmata (Hedw.) Carruth.	4	3	4	6	1	H
Riccia beyrichiana Hampe ex Lehm.	9	3	3	7	2	H
Riccia bifurca Hoffm.	9	4	7	6	5	H, T
Riccia breidleri Jur.	9	1	7	7	2	H
Riccia canaliculata Hoffm.	8	5	5	8	3	H
Riccia cavernosa Hoffm. emend. Raddi (crystallina auct. c. eur.)	9	6	5	8	6	H
Riccia ciliata Hoffm.	8	4	7	6	5	T,(H)
Riccia ciliifera Link ex Lindenb.	9	6	8	2	5	H
Riccia crozalsii Levier	8	8	3	2	6	H
Riccia crystallina L. emend. Raddi	8	9	4	7	6	H, T
Riccia fluitans L. emend. Lorbeer	x	6	5	9	4	H, A
Riccia frostii Aust.	9	9	9	7	7	H
Riccia glauca L.	8	5	5	7	5	T,(H)
Riccia gougetiana Durieu & Mont.	9	9	5	4	6	H
Riccia huebeneriana Lindenb.	9	5	5	8	5	T
Riccia lamellosa Raddi	8	9	6	5	6	H
Riccia ligula Steph.	8	9	4	5	5	T
Riccia michelii Raddi	8	9	4	5	7	H
Riccia nigrella Dc.	9	9	4	5	5	H
Riccia papillosa Moris	9	9	5	5	5	H
Riccia pseudopapillosa Levier ex Steph.	8	8	8	5	5	H
Riccia rhenana Lorbeer	7	6	5	9	6	H, A
Riccia sorocarpa Bisch. var. sorocarpa	9	x	5	6	5	H, T
Riccia sorocarpa var. heegii Schiffn.	9	8	4	6	5	H, T
Riccia subbifurca Warnst. ex Crozals	8	6	4	6	7	H, !T
Riccia trichocarpa M.A. Howe (canescens)	9	8	5	2	5	H
Riccia warnstorfii Limpr.	8	6	3	7	5	H, T
Ricciocarpos natans (L.) Corda	9	6	5	8	6	H, A
Riella notarisii (Mont.) Mont.	9	9	5	9	6	T, A
Saelania glaucescens (Hedw.) Broth. ex Bom. & Broth.	4	x	6	4	6	C
Sanionia uncinata (Hedw.) Loeske	x	x	6	7	3	C, E
Sauteria alpina (Nees) Nees	5	1	7	6	6	H
Scapania aequiloba (Schwaegr.) Dum.	5	2	6	6	8	C
Scapania apiculata Spruce	4	3	7	6	3	C
Scapania aspera M. & H. Bernet	5	3	4	6	9	C
Scapania calcicola (H. Arn. & J. Perss.) Ingham	6	3	6	6	9	C
Scapania carinthiaca Jack ex Lindb.	5	3	7	7	3	C
Scapania compacta (A. Roth) Dum.	7	6	4	5	2	C
Scapania crassiretis Bryhn	5	2	8	6	5	C
Scapania curta (Mart.) Dum.	6	3	5	6	3	C, H
Scapania cuspiduligera (Nees) K. Muell.	6	2	6	7	8	C
Scapania degenii Schiffn. ex K. Muell.	7	2	6	8	7	C
Scapania glaucocephala (Tayl.) Aust.	5	2	7	7	2	C
Scapania gymnostomophila Kaal.	4	2	6	7	7	C
Scapania helvetica Gott.	7	2	7	6	6	C
Scapania irrigua (Nees) Nees ssp. irrigua	8	3	6	7	4	C, H
Scapania irrigua ssp. rufescens (Loeske) Schust.	9	2	7	7	1	C
Scapania lingulata Buch (= microphylla)	4	3	3	6	3	C
Scapania massalongi (K. Muell.) K. Muell.	5	3	7	6	2	C
Scapania mucronata Buch	4	3	7	6	2	C
Scapania nemorea (L.) Grolle	4	4	5	5	2	C
Scapania paludicola Loeske & K. Muell.	8	2	6	8	6	C
Scapania paludosa (K. Muell.) K. Muell.	8	2	6	8	4	C
Scapania parvifolia Warnst.	5	2	4	6	3	C
Scapania praetervisa Meyl.	4	2	5	6	7	C
Scapania scandica (H. Arn. & Buch) Macv.	8	3	6	7	4	C
Scapania scapanioides (Mass.) Grolle (vexata)	4	2	7	6	2	C
Scapania subalpina (Nees ex Lindenb.) Dum.	9	1	6	8	4	C
Scapania uliginosa (Sw. ex Lindenb.) Dum.	8	2	5	8	4	C
Scapania umbrosa (Schrad.) Dum.	4	3	4	6	1	C
Scapania undulata (L.) Dum.	x	3	5	9	5	C, A
Scapania verrucosa Heeg	6	2	7	7	5	C
Schistidium agassizii Sull. & Lesq. ex Sull.	6	1	6	8	5	C, A
Schistidium apocarpum (Hedw.) B. & S. var. apocarpum	7	x	5	3	7	C,(A)
Schistidium apocarpum var. atrofuscum (Schimp.) C. Jens. ex Weim.	8	2	6	2	9	C,(A)
Schistidium apocarpum var. boreale (Poelt) Duell	9	1	6	2	7	C
Schistidium apocarpum var. brunnescens (Limpr.) Loeske	9	6	7	1	8	C
Schistidium apocarpum var. confertum (Funck) Moell.	9	x	6	1	7	C
Schistidium apocarpum var. grande (Poelt) Duell	7	1	7	5	9	C
Schistidium apocarpum var. strictum (Turn.) Moore (papillosum)	4	2	6	5	6	C
Schistidium maritimum (Turn.) B. & S. var. maritimum	9	3	3	7	5	C, A
Schistidium pulvinatum (Hedw.) Brid. (flaccidum, sphaericum)	9	x	7	1	5	C
Schistidium rivulare (Brid.) Podp. ssp. rivulare	x	2	6	8	6	A, C
Schistidium rivulare ssp. latifolium (Zett.) B. Bremer (alpicola)	8	x	6	2	8	C
Schistidium trichodon (Brid.) Poelt	9	3	6	3	8	C
Schistostega pennata (Hedw.) Web. & Mohr	1	3	4	6	1	T
Scleropodium cespitans (C. Muell.) L. Koch (caespitosum)	6	7	3	6	6	C, E
Scleropodium purum (Hedw.) Limpr.	6	4	5	4	5	C
Scleropodium touretii (Brid.) L. Koch fo. touretii (illecebrum)	8	7	4	3	6	C
Scopelophila cataractae (Mitt.) Broth.	8	7	3	7	6	C
Scopelophila ligulata (Spruce) Spruce	4	3	7	6	6	C
Scorpidium scorpioides (Hedw.) Limpr.	9	2	6	8	9	C,(A)
Scorpidium turgescens (T. Jens.) Loeske	9	1	6	8	8	C
Scorpiurium circinatum (Brid.) Fleischer & Loeske	5	8	4	5	7	C,(E)
Scorpiurium sendtneri (Schimp.) Fleischer	7	8	6	4	7	C, E
Seligera acutifolia Lindb.	3	5	5	6	9	C
Seligera austriaca Schauer	7	2	7	6	8	C
Seligera brevifolia (Lindb.) Lindb.	3	2	6	5	8	C
Seligera calcarea (Hedw.) B., S. & G.	3	4	4	7	9	C
Seligera calycina Mitten (paucifolia)	3	6	3	6	9	C
Seligera campylopoda Kindb.	3	2	7	6	8	C
Seligera diversifolia Lindb.	3	1	6	6	9	C
Seligera donniana (Sm.) C. Muell.	2	3	6	5	7	C
Seligera irrigata (H. Paul) Ochyra & L. Gos (trifaria var.)	4	4	7	8	9	C
Seligera oelandica C. Jens. & Medel.	3	1	6	8	9	C
Seligera patula (Lindb.) Broth. (alpestris)	3	5	5	6	9	C
Seligera pusilla (Hedw.) B., S. & G.	3	4	6	5	9	C
Seligera recurvata (Hedw.) B., S. & G. var. recurvata	3	3	6	6	7	C
Seligera trifaria (Brid.) Lindb. var. trifaria	3	4	4	7	9	C
Seligera trifaria var. alpestris (Schauer) L. Gos & Ochyra (austriaca)	7	2	7	6	8	C
Seligera trifaria var. longifolia (Broth.) Ochyra & L. Gos	3	4	7	7	9	C
Seligera tristichoides Kindb.	3	2	7	6	8	C
Sematophyllum demissum (Wils.) Mitt.	5	5	3	6	1	C
Sematophyllum micans (Mitt.) Braithw.	5	6	3	8	1	C, A
Southbya nigrella (De Not.) Henriques	8	8	3	6	8	H
Southbya tophacea (Spruce) Spruce	6	8	3	7	9	C, H
Sphaerocarpos michelii Bell.	7	8	4	6	5	T
Sphaerocarpos texanus Aust.	7	7	4	6	6	T
Sphagnum affine Ren. & Card. (imbricatum agg.)	7	3	4	7	1	C
Sphagnum angustifolium (C. Jens ex Russ.) C. Jens. (parvifolium)	7	3	6	7	2	C
Sphagnum annulatum Lindb.	8	2	6	8	1	C
Sphagnum austinii Sull. (imbricatum agg.)	8	3	3	8	2	C
Sphagnum balticum (Russ.) Russ. ex C. Jens.	8	2	6	8	1	C,(A)
Sphagnum capillifolium (L.) Hedw. var. capillifolium (nemoreum)	x	3	5	7	2	C
Sphagnum capillifolium var. tenerum (Sull. & Lesq. ex Sul.) Crum	9	2	6	8	2	C
Sphagnum centrale C. Jens. ex S. Arn. & C. Jens. (subbicolor)	6	3	?	7	1	C
Sphagnum compactum DC. ex Lam. & DC.	8	3	6	7	2	C
Sphagnum contortum K. F. Schultz	8	3	6	8	2	C
Sphagnum cuspidatum Ehrh. ex Hoffm. var. cuspidatum	9	3	6	8	1	C,(A)
Sphagnum denticulatum Brid. (auriculatum, rufescens)	7	3	4	8	4	C, (A)
Sphagnum fallax (Klinggr.) Klinggr. (mucronatum, recurvum)	7	3	6	7	2	C
Sphagnum fimbriatum Wils. ex Wils. & J. D. Hook.	5	3	6	7	2	C
Sphagnum flexuosum Dozy & Molk. (amblyphyllum)	7	3	6	5	3	C
Sphagnum fuscum (Schimp.) Klinggr.	9	2	6	7	1	C
Sphagnum girgensohnii Russ.	4	2	6	7	1	C
Sphagnum lescurii Sull. (inundatum)	5	3	6	7	4	C
Sphagnum lindbergii Schimp. ex Lindb.	8	1	6	7	2	C
Sphagnum magellanicum Brid. (medium)	9	3	6	7	1	C
Sphagnum majus (Russ.) C. Jens. (dusenii)	7	3	6	8	1	C
Sphagnum molle Sull.	8	5	4	7	2	C
Sphagnum nitidum (= subfulvum)	5	1	7	7	2	C
Sphagnum obtusum Warnst.	9	2	6	8	3	C
Sphagnum palustre L. (cymbifolium)	7	4	5	6	2	C
Sphagnum papillosum Lindb.	9	2	4	7	1	C
Sphagnum platyphyllum (Lindb. ex Braithw.) Sull. ex Warnst.	7	3	6	8	4	C, A
Sphagnum pulchrum (Lindb. ex Braithw.) Warnst.	9	3	4	8	2	C
Sphagnum quinquefarium (Lindb. ex Braithw.) Warnst.	4	3	4	7	4	C
Sphagnum riparium Aongstr.	6	2	6	8	2	C
Sphagnum rubellum Wils.	9	3	5	7	1	C
Sphagnum russowii Warnst. (robustum)	6	2	6	7	2	C,(A)
