Name	L	T	K	F	R	N	S	LF	LF_B
Alchemilla alpina (agg.)	9	2	2	5	2	2	0	H	S
Alchemilla conjuncta agg.
Alchemilla conjuncta grossidens	7	3	2	5	8	2	0	H	S
Alchemilla conjuncta hoppeana	9	2	4	5	9	3	0	H	S
Alchemilla conjuncta pallens	7	2	3	5	7	4	0	H	W
Alchemilla conjuncta plicatula	8	3	3	6	7	?	0	H	S
Alchemilla fissa agg.
Alchemilla fissa cuspidens	8	3	?	5	?	?	0	H	S
Alchemilla fissa fallax	8	3	4	5	4	2	0	H	S
Alchemilla fissa fissa	8	2	4	6	x	3	0	H	S
Alchemilla fissa incisa	8	3	?	8	8	2	0	H	W
Alchemilla fissa othmarii	8	3	?	5	7	2	0	H	S
Alchemilla fissa pyrenaica	8	3	?	5	?	2	0	H	S
Alchemilla hybrida agg.
Alchemilla hybrida colorata	8	2	3	4	7	2	0	H	S
Alchemilla hybrida exigua	8	3	?	5	8	4	0	H	S
Alchemilla hybrida flabellata	8	1	?	4	x	1	0	H	W
Alchemilla hybrida hybrida (glaucescens)	7	4	4	5	4	3	0	H	S
Alchemilla pentaphyllea	7	2	2	7	3	4	0	H	S
Alchemilla splendens kerneri	8	2	?	5	?	?	0	H	S
Alchemilla vulgaris agg.
Alchemilla vulgaris acutiloba	6	4	4	5	6	6	0	H	S
Alchemilla vulgaris cleistophylla	8	3	?	4	?	?	0	H	S
Alchemilla vulgaris connivens	7	4	?	5	7	x	0	H	S
Alchemilla vulgaris coriacea	7	3	3	9	4	3	0	H	S
Alchemilla vulgaris crinita	7	3	4	6	x	4	0	H	S
Alchemilla vulgaris decumbens	7	2	?	6	x	?	0	H	S
Alchemilla vulgaris demissa	7	3	?	7	x	?	0	H	S
Alchemilla vulgaris effusa	8	3	?	9	4	2	0	H	S
Alchemilla vulgaris gracilis	7	4	5	7	x	x	0	H	S
Alchemilla vulgaris inconcinna	7	3	?	5	6	6	0	H	S
Alchemilla vulgaris monticola (pastoralis)	6	x	5	5	6	4	0	H	S
Alchemilla vulgaris obtusa	7	3	?	6	4	4	0	H	S
Alchemilla vulgaris reniformis	7	3	4	8	4	2	0	H	S
Alchemilla vulgaris rubristipula	7	4	4	5	6	4	0	H	S
Alchemilla vulgaris sinuata	7	3	4	5	6	5	0	H	S
Alchemilla vulgaris straminea	7	4	4	9	4	3	0	H	S
Alchemilla vulgaris strigosula	7	4	4	5	?	?	0	H	S
Alchemilla vulgaris subcrenata	7	x	4	5	5	6	0	H	S
Alchemilla vulgaris tenuis	7	4	?	5	6	4	0	H	S
Alchemilla vulgaris tirolensis	7	3	?	5	7	5	0	H	S
Alchemilla vulgaris trunciloba	7	4	4	6	7	6	0	H	S
Alchemilla vulgaris versipila	8	2	4	5	8	4	0	H	S
Alchemilla vulgaris xanthochlora	6	4	2	7	7	?	0	H	S
Aldrovanda vesiculosa	5	8	4	12	7	4	0	A	S
Alisma gramineum	7	7	6	11	7	4	0	A	S
Alisma lanceolatum	7	7	2	10	7	5	0	A	S
Alisma plantago-aquatica	7	5	x	10	x	8	0	A	S
Alliaria petiolata	5	6	3	5	7	9	0	H	S
Allium angulosum (acutangulum)	8	7	7	8~	8	2	0	G	S
Allium carinatum	8	5	4	3~	8	2	0	G	S
Allium montanum	9	x	5	2	6	2	0	G	S
Allium oleraceum	7	6	4	3	7	4	0	G	V
Allium paradoxum	6	6	3	5	7	7	0	G	S
Allium pulchellum	9	7	6	2	8	1	0	G	V
Allium rotundum	7	7	6	4	8	4	0	G	S
Allium schoenoprasum	7	x	7	x~	7	2	0	G	S
Allium scorodoprasum	6	6	5	7	7	7	0	G	V
Allium sphaerocephalon	9	8	5	3	8	2	0	G	S
Allium strictum	9	6	8	2	6	1	0	G	S
Allium suaveolens	7	6	5	8~	9	2	0	G	S
Allium ursinum	2	x	2	6	7	8	0	G	V
Allium victorialis	8	3	?	5	6	4	0	G	S
Allium vineale	5	7	3	4	x	7	0	G	S
Alnus glutinosa	(5)	5	3	9=	6	x	1	P	S
Alnus incana	(6)	4	5	7=	8	x	0	P	S
Alnus viridis	7	3	4	6	5	7	0	N	S
Alopecurus aequalis (fulvus)	9	x	5	9=	x	9	0	T, H	S
Alopecurus bulbosus	8	6	2	7=	7	5	3	H	S
Alopecurus geniculatus	9	6	3	8=	7	7	2	H	W
Alopecurus myosuroides	6	6	3	5	7	6	0	T	W
Alopecurus pratensis	6	x	5	6	6	7	0	H	S
Alopecurus utriculatus	8	7	4	6~	8	4	2	T	S
Althaea hirsuta	7	8	5	4	8	3	0	T, H	S
Althaea officinalis	6	7	6	7=	8	4	2	H	S
Alyssum alyssoides	9	6	4	3	8	1	0	T, H	S
Alyssum montanum	9	6	4	2	7	1	0	C	I
Amaranthus albus	8	8	6	2	x	7	1	T	S
Amaranthus blitoides	9	7	6	3	x	8	0	T	S
Amaranthus deflexus	8	9	?	4	7	7	0	T	S
Amaranthus graecizans (angustifolius)	9	9	x	3	9	8	0	T	S
Amaranthus hybridus agg.	8	8	5	4	7	7	1	T	S
Amaranthus lividus (viridis, blitum)	8	7	3	4	x	8	0	T	S
Amaranthus powellii (chlorostachys)	8	7	5	4	8	6	1	T	S
Amaranthus retroflexus	8	7	6	4	7	7	1	T	S
Ambrosia artemisiifolia	9	7	?	4	8	6	0	T	S
Ambrosia psilostachya	9	8	?	3	8	4	0	T	S
Amelanchier lamarckii	6	6	2	5	3	3	0	N	S
Amelanchier ovalis	7	x	4	3	x	3	0	N	S
Ammi majus	7	8	3	4~	8	7	0	T	S
x Ammocalamagrosti baltica	8	6	3	4	x	2	1	G	W
Ammophila arenaria	9	6	3	4	7	5	1	G	W
Anacamptis pyramidalis	8	7	2	3	9	2	0	G	S
Anagallis arvensis	6	6	3	5	x	6	0	T	W
Anagallis foemina (coerulea)	8	7	5	4	9	5	0	T	W
