Name	L	T	K	F	R	N	S	LF	LF_B
Campanula scheuchzeri	8	2	4	5	x	3	0	H	W
Campanula thyrsoides	8	2	4	5	7	4	0	H	W
Campanula trachelium	4	x	3	6	8	8	0	H	S
Capsella bursa-pastoris	7	x	x	5	x	6	0	T	W
Cardamine alpina	7	1	4	7	4	4	0	H	W
Cardamine amara	7	x	4	9=	6	4	0	H	W
Cardamine flexuosa	6	5	2	8	4	5	0	H, T	W
Cardamine hirsuta	6	6	3	5	5	7	0	T, H	W
Cardamine impatiens	5	x	4	6	7	8	0	H, T	W
Cardamine parviflora	8	6	5	7=	7	6	0	T	W
Cardamine pratensis agg.
Cardamine pratensis matthioli	7	4	?	9~	3	2	0	H	W
Cardamine pratensis palustris	6	6	x	9	7	4	0	H	W
Cardamine pratensis pratensis	4	x	x	6	x	x	0	H	W
Cardamine pratensis rivularis	8	3	5	9~	5	1	0	H	W
Cardamine resedifolia	8	2	2	5	3	2	0	G, H	W
Cardamine trifolia	3	4	4	6	8	7	0	G	W
Cardaminopsis arenosa	9	x	4	4	6	2	0	H, C	S
Cardaminopsis halleri	8	4	4	6	3	x	0B	H	S
Cardaminopsis petraea (hispida)	9	2	2	3	8	1	0	C, H	S
Cardaria draba	8	7	7	3	8	4	0	H, G	S
Carduus acanthoides	9	5	6	4	8	7	0	H	W
Carduus crassifolius	7	5	6	4	9	4	0	H	S
Carduus crispus	7	6	x	6	7	9	0	H	S
Carduus defloratus	7	x	4	4~	8	4	0	H	S
Carduus nutans agg.	8	6	5	4	8	6	0	H	W
Carduus personata	7	4	2	8	8	8	0	H	S
Carex acutiformis (paludosa)	7	x	3	9~	7	5	0	G, A	S
Carex alba	5	5	7	4	8	2	0	G, H	S
Carex appropinquata	8	5	5	9=	9	4	0	H	S
Carex aquatilis	9	6	5	9=	7	4	0	G	W
Carex arenaria	7	6	2	3	2	2	1	G, H	I
Carex atherodes	8	6	8	9=	7	5	0	G, A	S
Carex atrata agg.
Carex atrata aterrima	9	2	3	7	7	3	0	H	W
Carex atrata atrata	9	2	3	5	6	2	0	H	W
Carex atrata parviflora	9	2	3	7	8	4	0	H	S
Carex baldensis	8	3	5	4	8	3	0	H	S
Carex bigelowii ssp. rigida	8	3	3	5	1	3	0	G	S
Carex binervis	7	5	1	7	1	1	0	H	W
Carex brachystachys	5	2	2	7	9	2	0	H	S
Carex bohemica	9	6	5	8=	6	4	0	H	S
Carex brizoides	6	5	4	6~	4	3	0	H, G	S
Carex buekii	8	6	6	8	8	6	0	G, A	S
Carex buxbaumii agg.
Carex buxbaumii buxbaumii	8	6	5	8=	7	2	0	G	S
Carex buxbaumii hartmannii	7	6	6	7~	x	2	0	G	S
Carex canescens agg.
Carex canescens brunnescens	9	2	?	9~	3	1	0	H	S
Carex canescens canescens	7	4	x	9	4	2	0	H	S
Carex capillaris	8	1	?	8	8	2	0	H	W
Carex capitata	9	4	7	8~	7	1	0	H	S
Carex caryophyllea (verna)	8	x	3	4	x	2	0	G, H	S
Carex cespitosa	6	6	7	9=	6	4	0	H	S
Carex chordorrhiza	9	5	7	9=	4	3	0	A, G	S
Carex curvula	9	1	5	4	2	1	0	H	S
Carex davalliana	9	4	4	9	8	2	0	H	I
Carex depauperata	4	7	2	4	7	4	0	H	S
Carex diandra	8	6	7	9=	6	3	0	G, H	S
Carex digitata	3	x	4	5	x	4	0	H	W
Carex dioica	9	4	x	9	x	2	0	G	W
Carex distans	9	6	3	6~	8	x	5	H	W
Carex disticha	8	6	x	9=	8	5	0	G	S
Carex echinata (stellulata)	8	x	3	8~	3	2	0	H	S
Carex elata (stricta)	8	x	2	10~	x	5	0	H, A	S
Carex elongata	4	6	3	9~	7	6	0	H	W
Carex ericetorum	5	5	7	4	x	2	0	G	S
Carex extensa	9	6	3	7=	x	4	6	H	W
Carex ferruginea	8	2	4	5	8	4	0	G	S
Carex firma	9	2	4	4	9	2	0	H	W
Carex flacca (glauca)	7	x	3	6~	8	4	1	G	S
Carex flava agg.
Carex flava flava	8	x	2	9	8	2	0	H	W
Carex flava lepidocarpa	9	5	2	9	9	2	0	H	S
Carex flava oederi (serotina)	8	x	3	9	x	2	2	H	W
Carex flava scandinavica	9	6	3	7~	7	5	1	H	S
Carex flava tumidicarpa (demissa)	8	x	1	9	4	2	0	H	S
Carex foetida	8	2	4	7	4	5	0	H	S
Carex frigida	9	2	2	8	8	2	0	G, H	S
Carex fritschii	6	7	4	4	5	4	0	H	S
Carex fuliginosa	9	1	5	7	2	1	0	H	W
Carex gracilis	7	5	7	9=	6	4	0	G, A	W
Carex hallerana	6	8	2	3	8	3	0	H	S
Carex heleonastes	8	5	7	9=	4	3	0	H	S
Carex hirta	7	6	3	6~	x	5	0	G	S
Carex hordeistichos	9	7	6	7~	7	5	2	H	S
Carex hostiana	8	5	2	9	6	2	0	H	W
Carex humilis	7	6	5	2	8	3	0	H	S
Carex juncifolia (maritima)	9	1	3	9=	x	2	0	H	S
Carex laevigata	4	5	1	9=	5	5	0	H	W
Carex lasiocarpa	9	4	x	9=	4	3	0	H, A	W
Carex leporina (ovalis)	7	x	3	7~	3	3	0	H	S
Carex ligerica	9	6	5	3	2	2	0	G	W
Carex limosa	9	4	x	9=	2	2	0	G, H	W
Carex michelii	7	6	5	3	6	3	0	H	S
Carex microglochin	9	3	3	9	8	2	0	H	W
Carex montana	5	x	4	4	6	3	0	H	S
Carex mucronata	9	3	4	3	9	1	0	H	W
Carex muricata agg.
Carex muricata divulsa	6	6	3	5	5	6	0	H	W
Carex muricata muricata	7	6	3	4	x	6	0	H	W
Carex muricata spicata (contigua)	7	5	3	4	6	4	0	H	W
Carex nigra (fusca, goodenowii)	8	x	3	8~	3	2	1	G	S
Carex norvegica	8	4	4	9~	4	2	0	H	S
Carex ornithopoda	6	x	4	3	9	3	0	H	W
Carex ornithopodoides	8	1	?	6	9	3	0	H	S
Carex pallescens	7	4	3	6~	4	3	0	H	S
Carex panicea	8	x	3	8~	x	4	1	G, H	W
Carex paniculata	7	x	3	9	6	4	0	H	S
Carex pauciflora	9	3	5	9	1	1	0	G	W
Carex paupercula (ssp. irrigua)	8	3	x	9	3	2	0	H	W
Carex pendula	5	5	2	8	6	6	0	H	S
Carex pilosa	4	6	5	5~	5	5	0	H, G	W
Carex pilulifera	5	x	2	5~	3	3	0	H	S
Carex praecox agg.	9	6	6	3~	x	4	0	G, H	W
Carex pseudobrizoides (reichenb.)	6	6	4	7~	2	2	0	G	S
Carex pseudocyperus	7	6	3	9=	6	5	0	A, H	W
Carex pulicaris	8	4	2	9	4	2	0	H	W
Carex punctata	9	6	1	7=	7	3	1	H	W
Carex remota	3	5	3	8	x	x	0	H	S
Carex riparia	7	6	3	9=	7	4	0	A, H	W
Carex rostrata (inflata)	9	x	x	10	3	3	0	A, H	W
Carex rupestris	9	2	7	4	6	2	0	H	S
Carex secalina	8	6	8	7	?	?	2	H	S
Carex sempervirens	7	x	2	4	7	3	0	H	W
Carex strigosa	3	6	1	7	7	6	0	H	W
Carex supina	7	7	7	2	7	2	0	G	S
Carex sylvatica	2	5	3	5	6	5	0	H	W
Carex tomentosa (filiformis)	7	6	5	7~	9	x	0	G, H	S
Carex trinervis	9	6	1	9	3	2	?	G	W
Carex umbrosa	4	x	4	5~	6	4	0	H	W
Carex vaginata	8	3	6	9	x	2	0	G	S
Carex vesicaria	7	4	x	9=	6	5	0	A, H	S
Carex vulpina otrubae (vulp. var. nem.)	6	6	2	8	7	6	1	H, G	S
Carex vulpina vulpina	9	6	5	8=	x	5	0	H, G	S
Carlina acaulis ssp. simplex	9	x	4	4	x	2	0	H	S
Carlina acaulis ssp. acaulis	9	4	5	4	3	2	0	H	S
Carlina vulgaris	7	5	3	4	7	3	0	H, T	W
Carlina vulgaris biebersteinii	7	3	4	4	7	3	0	H	S
Carpesium cernuum	5	6	4	5	7	7	0	T, H
Carpinus betulus	(4)	6	4	x	x	x	0	P	S
Carum carvi	8	4	5	5	x	6	1	H	S
Carum verticillatum	7	7	1	8~	4	3	0	H	S
Castanea sativa	(5)	8	2	x	4	x	0	P	S
Catabrosa aquatica	8	5	5	9=	7	8	1	H	W
Catapodium rigidum	9	6	3	2	7	1	0	T	S
Caucalis platycarpos (lappula)	6	6	5	4	9	4	0	T	S
Centaurea calcitrapa	8	7	3	5	x	6	0	H, T	S
Centaurea cyanus	7	6	5	x	x	x	0	T	W
Centaurea diffusa	9	7	6	3	8	3	0	T	S
Centaurea jacea	7	x	5	x	x	x	0	H	S
Centaurea jacea ssp. angustifolia	8	7	6	4	x	2	0	H	S
Centaurea jacea ssp. pratensis	7	6	4	5	6	3	0	H	S
Centaurea jacea ssp. subjacea	8	7	3	3	8	2	0	H	S
Centaurea montana	6	4	4	5	7	6	0	H	S
Centaurea nemoralis	7	6	3	4	6	3	0	H	S
Centaurea nigra	8	4	2	5	3	4	0	H	S
Centaurea nigrescens	8	6	6	4~	6	6	0	H	S
Centaurea paniculata agg.	8	7	6	2	8	3	0	H	S
Centaurea phrygia	8	x	5	5	x	4	0	H	S
Centaurea phrygia pseudophrygia	8	4	5	5	5	4	0	H	S
Centaurea scabiosa	7	x	3	3	8	4	0	H	S
Centaurea scabiosa ssp. alpestris (C. alp.)	8	2	3	5	8	3	0	H	S
Centaurea solstitialis	8	6	6	4	7	6	0	H	S
Centaurea stenolepis	6	6	5	4	8	4	0	H	S
Centaurea triumfettii	6	7	5	4	7	4	0	H	S
Centaurium erythraea (umbellatum)	8	6	5	5	6	6	0	T, H	S
Centaurium pulchellum	9	6	7	x~	9	4	1	T	S
Centaurium littorale ssp. littorale	9	6	5	7	8	3	2	T	S
Centranthus ruber	7	8	3	6	8	5	0	H	S
Centunculus minimus	8	6	3	7~	4	3	0	T	S
Cephalanthera damasonium (alba)	3	6	2	4	7	4	0	G	S
Cephalanthera longifolia	5	5	3	4	6	4	0	G	S
Cephalanthera rubra	4	5	4	3	8	4	0	G	S
Cerastium alpinum	9	1	2	4	6	2	0	C	W
Cerastium arvense	8	x	5	4	6	4	0	C	W
Cerastium arvense ssp. strictum	9	3	6	3	x	2	0	C	W
Cerastium brachypetalum	9	7	4	3	8	2	0	T	W
Cerastium cerastoides	8	1	?	8	4	7	0	C	W
Cerastium diffusum (tetrandrum)	8	6	2	4	4	2	0	T	S
Cerastium dubium (anomalum)	9	6	6	8=	7	5	2	T	S
Cerastium fontanum agg.
Cerastium fontanum fontanum	6	3	4	5	5	5	0	C	W
Cerastium fontanum holosteoides (caesp.)	6	x	x	5	x	5	1	C, H	W
Cerastium glomeratum	7	5	3	5	5	5	0	T	W
Cerastium latifolium	9	1	4	5	9	3	0	C	W
Cerastium pedunculatum	9	2	4	5	3	3	0	C	W
Cerastium pumilum agg.	8	7	4	2	8	2	0	T	S
Cerastium semidecandrum	8	6	3	3	6	x	0	T, H	S
Cerastium uniflorum	9	1	4	5	x	3	0	C	W
Ceratocephalus falcatus	8	9	8	4	x	4	0	T	W
Ceratophyllum demersum	6	7	x	12~	8	8	0	A	W
Ceratophyllum submersum	5	8	5	12	8	7	0	A	W
Cerinthe glabra ssp. glabra	7	x	4	5	8	9	0	H	S
Cerinthe minor	8	6	5	4	8	4	0	H	S
Ceterach officinarum	8	9	3	3	8	2	0	H	I
Chaenarrhinum minus (Linaria minor)	8	6	3	4	8	5	0	T	S
Chaerophyllum aromaticum	7	5	5	7	6	8	0	H	S
Chaerophyllum aureum	6	5	4	5	9	9	0	H	S
Chaerophyllum bulbosum	7	6	5	7	8	8	0	T, G	S
Chaerophyllum hirsutum	6	3	4	8	x	7	0	H	S
Chaerophyllum temulum	5	6	3	5	x	8	0	T, H	S
Chaerophyllum villarsii	8	3	4	6	6	8	0	H	S
Chamaecytisus ratisbonensis	6	7	6	4	x	2	0	Z	W
Chamaecytisus supinus	7	6	4	3	x	1	0	Z, N	I
Chamaedaphne calyculata	7	3	7	8	3	2	0	Z	I
Chamaespartium sagittale	8	5	4	4	4	2	0	Z, H	W
Chamorchis alpina	9	2	2	4	9	2	0	G	S
Chelidonium majus	6	6	x	5	x	8	0	H	S
Chenopodium album agg.
Chenopodium album album	x	x	x	4	x	7	0	T	S
Chenopodium album opulifolium	8	7	3	4	7	6	0	T	S
Chenopodium album strictum	9	7	7	4	x	6	0	T	S
Chenopodium album suecicum (viride)	8	6	6	4	6	7	0	T	S
Chenopodium bonus-henricus	8	x	2	5	x	9	0	T, G	W
Chenopodium botrys	8	7	2	4	7	6	0	T	S
Chenopodium ficifolium (serotinum)	7	7	7	6	x	7	0	T	S
Chenopodium foliosum	8	x	8	4	7	8	0	T	S
Chenopodium glaucum	8	6	7	6	x	9	3	T	S
Chenopodium hybridum	7	6	7	5	8	8	0	T	S
Chenopodium murale	8	7	6	4	8	9	0	T	S
Chenopodium polyspermum	6	6	4	6	x	8	0	T	S
Chenopodium pumilio	9	7	?	4	7	8	0	T	S
Chenopodium rubrum	8	x	x	6	x	9	1	T	S
Chenopodium rubrum botryoides	8	6	7	7	7	9	1	T	S
Chenopodium urbicum	7	7	7	4	7	7	0	T
Chenopodium vulvaria	7	7	4	4	7	9	0	T	S
Chimaphila umbellata	4	6	6	4	6	3	0	Z	I
Chondrilla chondrilloides (prenanth.)	9	4	4	5=	9	2	0	H	W
Chondrilla juncea	8	7	5	3	6	x	0	H	W
Chrysanthemum segetum	7	6	2	5	5	5	0	T	S
Chrysosplenium alternifolium	4	4	5	8=	7	5	0	H	S
Chrysosplenium oppositifolium	6	5	2	9=	5	5	0	H	W
Cicendia filiformis	9	7	2	8=	3	2	1	T	S
Cicerbita alpina	6	3	2	6	6	8	0	H	S
Cicerbita plumieri	5	3	1	5	6	7	0	H	S
Cichorium intybus	9	6	5	4	8	5	0	H	S
Cicuta virosa	7	6	7	9=	5	5	0	H	S
Circaea alpina	4	4	4	7	5	5	0	G	S
Circaea x intermedia	4	5	2	7	7	6	0	G	S
Circaea lutetiana	4	5	3	6	7	7	0	G	S
Cirsium acaule	9	5	4	3	8	2	0	H	S
Cirsium arvense	8	5	x	x	x	7	1	G	S
Cirsium canum	8	7	6	8~	7	?	0	H	S
Cirsium dissectum (anglicum)	7	7	1	8	4	2	0	H	S
Cirsium eriophorum	8	x	3	4	9	5	0	H	S
Cirsium erisithales	6	5	5	5~	8	2	0	H	S
Cirsium heterophyllum (helenioides)	7	4	5	8	5	6	0	H	S
Cirsium oleraceum	6	x	3	7	7	5	0	H	S
Cirsium palustre	7	5	3	8	4	3	0	H	W
Cirsium rivulare	9	5	4	7~	8	5	0	H	S
Cirsium spinosissimum	7	2	5	6	7	8	0	H	S
Cirsium tuberosum	7	6	2	6~	8	3	0	H, G	S
Cirsium vulgare (lanceolatum)	8	5	3	5	7	8	0	H	W
Cladium mariscus	9	6	3	10	9	3	0	G, A	W
Claytonia perfoliata	6	6	4	5	7	7	0	T	S
Clematis alpina	4	3	7	5	3	3	0	Nli	S
Clematis recta	6	7	5	3~	8	3	0	H	S
Clematis vitalba	7	6	3	5	7	7	0	Pli	S
Clinopodium vulgare (Calamintha cl.)	7	x	3	4	7	3	0	H	S
Cnicus benedictus	8	8	3	4	7	6	0	T	S
Cnidium dubium	7	7	6	8~	6	?	0	H	S
Cochlearia anglica	8	5	1	8=	7	7	8	H	W
Cochlearia danica	9	6	3	8=	8	5	4	T, H	W
Cochlearia officinalis agg.	8	6	x	7=	7	6	2	H	W
Cochlearia pyrenaica ssp. pyrenaica	8	4	4	9=	8	3	0	H, C	W
Coeloglossum viride	8	x	x	4	4	2	0	G	S
Colchicum autumnale	6	5	2	6~	7	x	0	G	S
Coleanthus subtilis	9	7	5	8=	3	2	0	T	S
Collomia grandiflora	6	7	3	4	7	3	0	T	S
Colutea arborescens	5	8	3	3	8	2	0	N	S
Conium maculatum	8	6	5	6~	x	8	0	H, T	S
Conopodium majus	8	4	2	5	4	4	0	G	S
Conringia orientalis	7	6	5	3	9	4	0	T	W
Consolida regalis ssp. regalis	6	7	6	4	8	5	0	T	S
Convallaria majalis	5	x	3	4	x	4	0	G	S
Convolvulus arvensis	7	6	x	4	7	x	0	G, Hli	S
Conyza canadensis	8	6	x	4	x	5	0	T, H	S
Corallorhiza trifida	x	4	7	5	3	x	0	Gvp	S
Corispermum hyssopifolium (leptoterum)	8	7	5	3	7	6	0	T	S
Corispermum marschallii	9	6	6	4	8	5	0	T	S
Cornus mas	6	7	4	4	8	4	0	N, P	S
Cornus sanguinea	7	5	4	5	7	x	0	N	S
Cornus suecica	5	4	3	7	2	2	0	N, C	S
Coronilla coronata	7	6	4	3~	9	3	0	C, H	W
Coronilla emerus	7	6	4	3	9	2	0	N	I
Coronilla vaginalis	6	x	4	3	9	2	0	C	W
Coronilla varia	7	6	5	4	9	3	0	H	S
Coronopus didymus	9	7	4	5	6	6	0	T	S
Coronopus squamatus (procumbens)	8	7	3	6~	7	6	1	T	S
Corrigiola litoralis	8	6	2	7	5	5	0	T	S
Cortusa matthioli	5	3	5	6	6	7	0	H	S
Corydalis cava	3	6	4	6	8	8	0	G	V
Corydalis claviculata	5	6	1	5	3	6	0	Tli	S
Corydalis intermedia	3	4	4	5	7	7	0	G	V
Corydalis lutea	6	7	4	6	9	5	0	H	W
Corydalis solida	3	6	5	5	7	7	0	G	V
Corylus avellana	6	5	3	x	x	5	0	N	S
Corynephorus canescens	8	6	5	2	3	2	0	H	W
Cotinus coggygria	7	8	4	3	7	3	0	N	S
Cotoneaster integerrimus	8	x	4	3	7	2	0	N	S
Cotoneaster tomentosus	7	5	4	3	9	2	0	N	S
Cotula coronopifolia	9	6	?	7	7	7	5	T	S
Crambe maritima	9	6	x	6=	7	8	3	H	W
Crassula aquatica	8	6	3	7~	x	2	0	T	S
Crassula tillaea	8	7	2	7	x	3	0	T	S
Crataegus laevigata agg.	6	6	4	5	7	5	0	N, P	S
Crataegus monogyna agg.	7	5	3	4	8	4	0	N, P	S
Crepis alpestris	7	4	4	4	8	2	0	H	S
Crepis aurea	8	2	4	5	5	7	0	H	W
Crepis biennis	7	5	3	6	6	5	0	H	W
Crepis capillaris	7	6	2	5	6	4	0	T, H	S
Crepis conyzifolia	9	3	4	5~	2	2	0	H	S
Crepis foetida	9	7	3	4	7	3	0	T, H	S
Crepis kerneri (jaquinii ssp.)	9	2	4	5	9	3	0	H	S
Crepis mollis	8	4	5	5~	5	5	0	H	S
Crepis nicaeensis	8	6	4	4	7	6	1	H	S
Crepis paludosa	7	x	3	8~	8	6	0	H	S
Crepis pontana (bocconi)	8	2	4	5	8	5	0	H
Crepis praemorsa	6	7	6	3~	9	3	0	H	S
Crepis pulchra ssp. pulchra	7	8	3	4	8	6	0	T	S
Crepis pyrenaica (blattarioides)	7	3	4	5	7	6	0	H	S
Crepis rhaetica	9	1	3	7	8	3	0	H	S
Crepis setosa	9	7	4	4	7	3	0	T, H	S
Crepis taraxacifolia	9	6	3	4	8	5	0	H, T	S
Crepis tectorum	8	6	7	4	x	6	0	T, H	S
Crepis terglouensis	9	1	4	5	9	3	0	H	S
Crocus albiflorus	7	3	4	5	5	x	0	G	V
Cruciata glabra (vernum)	7	6	4	5	7	5	0	H	S
Cruciata laevipes (cruciata)	7	5	5	6	6	7	0	H	S
Cryptogramma crispa	8	3	3	5	3	2	0	H	S
Cucubalus baccifer	6	6	4	9=	8	7	0	H	S
Cuscuta australis	x	7	?	?	x	x	0	Tvp	S
Cuscuta campestris	x	7	?	?	x	x	0	Tvp	S
Cuscuta epilinum	x	6	4	x	x	x	0	Tvp	S
Cuscuta epithymum	x	x	5	x	x	2	0	Tvp	S
Cuscuta europaea	x	6	5	7	x	7	0	Tvp	S
Cuscuta gronovii	x	6	?	8	x	8	0	Tvp	S
Cuscuta lupuliformis	x	6	6	8	-	8	0	Tvp	S
Cuscuta suaveolens	x	6	?	?	x	x	0	Tvp	S
Cyclamen purpurascens	4	6	4	5	9	5	0	G	I
Cydonia oblonga	8	6	3	4	8	4	0	P	S
Cymbalaria muralis	7	7	4	6	8	5	0	C, H	I
Cynodon dactylon	8	7	3	4	x	5	0	G, H	S
Cynoglossum germanicum	6	6	4	5	8	8	0	H	S
Cynoglossum officinale	8	6	5	4	7	7	0	H	S
Cynosurus cristatus	8	5	3	5	x	4	0	H	S
Cyperus badius	8	7	3	8	?	?	0	H	S
Cyperus flavescens	9	6	4	7=	x	4	0	T	S
Cyperus fuscus	9	6	4	7=	x	4	0	T	S
Cyperus longus	8	8	3	9=	x	5	0	H, A	S
Cyperus michelianus	9	6	4	8=	7	6	0	T	S
Cypripedium calceolus	5	5	5	4~	8	4	0	G	S
Cystopteris dickieana	5	2	4	7	9	2	0	H	S
Cystopteris fragilis	5	x	3	7	8	4	0	H	S
Cystopteris montana	4	x	4	7	9	2	0	G, H	S
Cystopteris regia	6	3	3	7	8	3	0	H	S
Cystopteris sudetica	5	4	7	5	9	2	0	G	S
Cytisus scoparius	8	5	2	4	3	4	0	N	I, S
Dactylis glomerata	7	x	3	5	x	6	0	H	S
Dactylis polygama	5	6	4	5	6	5	0	H	W
Dactylorhiza incarnata (Orchis inc.)	8	5	3	8~	7	2	0	G	S
Dactylorhiza incarnata ssp. ochroleuca	8	4	3	8~	7	2	0	G	S
Dactylorhiza maculata	7	x	2	8~	x	2	0	G	S
Dactylorhiza maculata ssp. elodes	8	6	2	8~	2	2	0	G	S
Dactylorhiza majalis (O. latifolia)	8	5	3	8~	7	3	0	G	S
Dactylorhiza majalis ssp. alpestris	8	3	3	9	3	1	0	G	S
Dactylorhiza praetermissa	9	5	?	9	8	2	0	G	S
Dactylorhiza sambucina	7	5	4	4	5	2	0	G	S
Dactylorhiza sphagnicola	9	5	?	8	3	1	0	G	S
Dactylorhiza traunsteineri	8	4	4	9=	4	2	0	G	S
Danthonia alpina	9	6	5	3	?	2	0	H	S
Danthonia decumbens (Sieglingia d.)	8	x	2	x	3	2	0	H	S
Daphne alpina	8	4	5	4	8	3	0	N, Z	I
Daphne cneorum	6	5	4	4	8	2	0	Z	I
Daphne laureola	4	7	2	4	8	4	0	N	I
Daphne mezereum	4	x	4	5	7	5	0	N, Z	S
Daphne striata	7	3	4	4	8	2	0	Z	I
Datura stramonium	8	6	x	4	7	8	1	T	S
Daucus carota	8	6	5	4	x	4	0	H	S
Dentaria bulbifera (Cardamine b.)	3	5	4	5	7	6	0	G	S
Dentaria enneaphyllos	4	4	4	5	7	7	0	G	S
Dentaria heptaphyllos (pinnata)	3	5	2	5	8	6	0	G	S
Dentaria pentaphyllos (digitata)	3	5	2	5	7	6	0	G	S
Deschampsia cespitosa	6	x	x	7~	x	3	0	H	W
Deschampsia litoralis	8	6	4	10	7	2	0	H, A	S
Deschampsia media	8	7	2	8=	7	4	0	H	S
Deschampsia setacea	8	6	1	9=	2	1	0	H	W
Deschampsia wibeliana	8	6	2	9=	8	4	2	H	W
Descurainia sophia (Sisymbrium sophia)	8	6	7	4	x	6	0	T	W
Dianthus armeria ssp. armeria	6	6	3	5	x	3	0	T, H	W
Dianthus carthusianorum	8	5	4	3	7	2	0	C	W
Dianthus deltoides	8	5	4	3	3	2	0	C, H	W
Dianthus gratianopolitanus (caesius)	9	7	4	2	7	1	0	C	W
Dianthus seguieri (sylvaticus)	7	6	4	4~	3	2	0	C	W
Dianthus sylvestris ssp. sylvestris	6	6	4	4	4	2	0	H	W
Dianthus superbus ssp. superbus	7	6	7	8~	8	2	0	H	W
Dianthus superbus ssp. alpestris	8	2	7	5~	7	4	0	H	W
Dictamnus albus	7	8	4	3	8	2	0	H	W
Digitalis grandiflora	7	4	4	5	5	5	0	H	S
Digitalis lutea	7	6	2	5	7	5	0	H	S
Digitalis purpurea	7	5	2	5	3	6	0	H	S
Digitaria ischaemum	7	6	4	5	2	3	0	T	S
Digitaria sanguinalis	7	7	3	4	5	5	0	T	S
Diphasium alpinum	8	3	3	5	2	2	0	C	I
Diphasium complanatum (anceps)	6	4	7	4	1	2	0	C	I
Diphasium issleri	9	5	5	5	1	1	0	C	I
Diphasium tristachyum (chamaecyp.)	8	6	5	5~	1	1	0	C	I
Diphasium zeilleri	7	6	?	4	1	2	0	C	I
Diplotaxis muralis	8	8	3	4	8	5	0	T	S
Diplotaxis tenuifolia	8	7	3	3	x	6	0	C, H	W
Diplotaxis viminea	7	8	2	5	8	6	0	T	S
Dipsacus fullonum (sylvestris)	9	6	3	6~	8	7	0	H	S
Dipsacus laciniatus	7	7	5	6	8	6	0	H	S
Dipsacus pilosus (Cephalaria pilosa)	7	6	5	6~	8	7	0	H	S
Dipsacus strigosus	8	6	7	5	8	5	0	H	S
Doronicum austriacum	5	3	4	6	7	7	0	H	W
Doronicum columnae (cordatum)	8	2	4	6	8	7	0	H	W
Doronicum glaciale	8	1	4	6	7	3	0	H	W
Doronicum grandiflorum	8	2	4	5	9	3	0	H	W
Doronicum pardalianches	4	6	2	5	7	6	0	G	H
Dorycnium germanicum	7	6	4	2	9	1	0	Z	W
Dorycnium herbaceum	7	6	4	3	9	3	0	Z	W
Draba aizoides	8	x	4	3	9	1	0	C	W
Draba dubia (frigida)	8	2	5	3	x	2	0	C	W
Draba fladnizensis	9	2	7	5	6	2	0	C, H	W
Draba hoppeana	8	1	5	5	7	2	0	C	W
Draba ladina	8	2	7	4	9	2	0	C	W
Draba muralis	7	6	2	5	8	6	0	T, H	W
Draba sauteri	6	2	4	5	9	2	0	C	W
Draba siliquosa (carinthiaca)	8	2	4	5	6	2	0	C	W
Draba tomentosa	9	1	4	2	9	2	0	C	I
Dracocephalum ruyschiana	6	5	8	4	7	2	0	C	S
Drosera anglica	8	4	3	9=	3	2	0	H	W
Drosera intermedia	9	5	2	9=	2	2	0	H	W
Drosera x obovata	8	4	3	9	2	2	0	H	W
Drosera rotundifolia	8	4	3	9	1	1	0	H	W
Dryas octopetala	9	2	7	4	8	4	0	Z	I
Dryopteris affinis (pseudomas)	3	5	2	6	5	6	0	H	S
Dryopteris carthusiana (spinulosa)	5	x	3	x	4	3	0	H	S
Dryopteris cristata	4	6	4	9	5	6	0	H	S
Dryopteris dilatata (austriaca)	4	x	3	6	x	7	0	H	S
Dryopteris expansa	4	3	?	6	2	2	0	H	S
Dryopteris filix mas	3	x	3	5	5	6	0	H	S
Dryopteris remota	3	4	?	6	4	5	0	H	S
Dryopteris villarii (rigida)	9	2	2	5	9	3	0	H	S
Ecballium elaterium	8	9	?	5	8	7	0	T	S
Echinochloa crus-galli	6	7	5	5	x	8	0	T	S
Echinocystis lobata	7	8	?	9=	8	8	0	T	S
Echinops sphaerocephalus	8	7	6	4	8	7	0	H	S
Echium vulgare	9	6	3	4	8	4	0	H	W
Elatine alsinastrum	8	7	5	9=	5	4	0	T, A	W
Elatine hexandra	8	6	2	9=	3	2	0	T, A	W
Elatine hydropiper	8	6	4	8=	2	3	?	T, A	W
Elatine triandra	8	6	4	9=	4	4	0	T, A	W
Eleocharis acicularis	7	6	3	10	x	2	0	A, H	W
Eleocharis mamillata	8	5	?	10	4	3	0	A, H	W
Eleocharis multicaulis	8	6	1	10	x	2	1	H	W
Eleocharis ovata (soloniensis)	8	6	4	8=	x	5	0	T	W
Eleocharis palustris (Scirpus palustris)	8	x	x	10	x	?	0	A	W
Eleocharis parvula	7	6	5	10	7	5	1	H, A	W
Eleocharis quinqueflora (pauciflora)	8	x	3	9	7	2	1	H, A	W
Eleocharis uniglumis	7	5	x	10=	7	5	5	A	W
Elodea canadensis	7	6	5	12	7	7	0	A	W
Elodea nuttallii	7	6	3	12	?	7	0	A	W
Elymus arenarius	9	6	x	6=	7	6	1	G	W
Elyna myosuroides	9	2	7	4	x	2	0	H	S
Empetrum hermaphroditum	8	3	x	6	4	2	0	Z	I
Empetrum nigrum	7	x	3	6	x	2	0	Z	I
Epilobium adenocaulon	7	6	?	5	7	8	0	H	W
